tahun,kode_provinsi,nama_provinsi,luas_panen,produktivitas,produksi,latitude,longitude
2013,1100,Prov. Nanggroe Aceh Darussalam,899,10.58,951,5.55,95.31667
2013,1200,Prov. Sumatera Utara,2130,11,2344,3.583333,98.66666
2013,1300,Prov. Sumatera Barat,608,12.38,753,-0.95,100.3531
2013,1400,Prov. Riau,585,10.58,619,0.4816667,101.4686
2013,1500,Prov. Jambi,230,11.39,262,-1.589167,103.61
2013,1600,Prov. Sumatera Selatan,1332,13.67,1821,-2.990833,104.7567
2013,1700,Prov. Bengkulu,1384,9.91,1371,-3.795556,102.2592
2013,1800,Prov. Lampung,2941,8.99,2643,-5.429722,105.2625
2013,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
2013,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
2013,3100,Prov. DKI Jakarta,0,0,0,-6.183333,106.8333
2013,3200,Prov. Jawa Barat,9121,12.06,11002,-6.914722,107.6097
2013,3300,Prov. Jawa Tengah,57941,11.09,64277,-6.966667,110.4167
2013,3400,Prov. D I Yogyakarta,552,5.76,318,-7.801389,110.3644
2013,3500,Prov. Jawa Timur,48845,11.81,57686,-7.266667,112.7167
2013,3600,Prov. Banten,822,8.18,672,-6.12,106.1503
2013,5100,Prov. Bali,1129,10.5,1186,-8.65,115.2167
2013,5200,Prov. Nusa Tenggara Barat,19374,11.4,22079,-8.583333,116.1167
2013,5300,Prov. Nusa Tenggara Timur,11869,8.54,10139,-10.18333,123.5833
2013,6100,Prov. Kalimantan Barat,733,7.54,553,-0.0166667,109.3333
2013,6200,Prov. Kalimantan Tengah,129,8.22,106,-2.21,113.92
2013,6300,Prov. Kalimantan Selatan,703,10.77,757,-3.314444,114.5925
2013,6400,Prov. Kalimantan Timur,414,10.6,439,-0.5022222,117.1536
2013,7100,Prov. Sulawesi Utara,1218,12.64,1540,1.493056,124.8414
2013,7200,Prov. Sulawesi Tengah,1009,8.32,839,-0.9,119.8333
2013,7300,Prov. Sulawesi Selatan,14226,12.89,18341,-5.133333,119.4167
2013,7400,Prov. Sulawesi Tenggara,1342,8.07,1083,-3.9675,122.5947
2013,7500,Prov. Gorontalo,139,13.09,182,0.5333334,123.0667
2013,7600,Prov. Sulawesi Barat,444,13.63,605,-2.668611,118.8622
2013,8100,Prov. Maluku,841,10.57,889,-3.7,128.1667
2013,8200,Prov. Maluku Utara,278,11.65,324,0.7833334,127.3667
2013,9100,Prov. Papua Barat,171,10.82,185,-0.8666667,134.0833
2013,9400,Prov. Papua,649,10.51,682,-2.533056,140.7169